Name                   ,Size ,Founded   ,Services                                  ,Target                                 ,Website                                    ,LinkedIn                                                                            ,Instagram                                                    ,Twitter                                 ,Location
Hanova Consulting      ,A    ,2021 🇲🇽 ,#ai #iot #block #cybersec                 ,                                       ,[.mx](https://hanova.mx)                   ,[in: 290](https://www.linkedin.com/company/hanova-consulting/)                      ,[ig: 190](https://www.instagram.com/hanova.mx/)              ,                                        ,[San Pedro; NL](https://maps.app.goo.gl/12qbAPeYVdte35UaA)
Volt Media Services    ,A    ,2018 🇲🇽 ,#web #ecomm                               ,                                       ,[.mx](https://voltmedia.mx)                ,[in: 40](https://www.linkedin.com/company/voltmediamx/)                             ,[ig: 80](https://www.instagram.com/voltmediamx/)             ,                                        ,[Mexico City](https://maps.app.goo.gl/5vwnMFGeZsN8JEfQ7)
Borealix               ,A    ,2013 🇲🇽 ,#cybersec                                 ,                                       ,[.io](https://borealix.io)                 ,[in: 290](https://www.linkedin.com/company/borealixsec/)                            ,                                                             ,[x: 30](https://x.com/BorealixSec)      ,[Aguascalientes; Ags](https://maps.app.goo.gl/nYkHhrxKhQKPmApz6)
Kalyptio               ,B    ,2021 🇲🇽 ,#uxui #mobile #web                        ,#health #retail #edu                   ,[.com](https://www.kalyptio.com)           ,[in: 280](https://www.linkedin.com/company/kalyptio/)                               ,                                                             ,[x: 10](https://x.com/Kalyptio)         ,
INOWU                  ,B    ,2018 🇲🇽 ,#uxui #mobile #ecomm #app #data           ,#edu #health                           ,[.dev](https://www.inowu.dev)              ,[in: 80](https://www.linkedin.com/company/inowu-development/)                       ,[ig: 170](https://www.instagram.com/inowu_development/)      ,                                        ,[Hermosillo; Son](https://maps.app.goo.gl/2ouhJJu36RCbXFKL8)
One Phase              ,B    ,2016 🇺🇸 ,#app #web #mobile #ecomm #cloud           ,#health #retail #finance #factory      ,[.com](https://onephase.com)               ,[in: 2k](https://www.linkedin.com/company/onephase/)                                ,[ig: 180](https://www.instagram.com/onephasellc/)            ,[x: 50](https://x.com/OnephaseLLC)      ,[Monterrey; NL](https://maps.app.goo.gl/v8Zq8PTSX8ffqeMeA)
Alset                  ,B    ,2014 🇲🇽 ,#app #web #mobile #uxui #ai #data         ,#finance #health #edu                  ,[.com.mx](https://alset.com.mx)            ,[in: 1k](https://www.linkedin.com/company/alsetmx/)                                 ,[ig: 90](https://www.instagram.com/alsetmx/)                 ,[x: 80](https://x.com/alsetmx)          ,
HRISTOV                ,B    ,2013 🇺🇸 ,#mobile #web #ecomm #uxui #app            ,#sme #startups                         ,[.com](https://www.hristovdevelopment.com) ,[in: 870](https://www.linkedin.com/company/hristovdevelopment/)                     ,[ig: 40](https://www.instagram.com/hristovdevelopment/)      ,[x: 180](https://x.com/HristovDevelop)  ,[Aguascalientes; Ags](https://maps.app.goo.gl/DpCgMoNfUNGCh4fH9)
Kryptobees             ,B    ,2011 🇨🇦 ,#web3 #app #ecomm #cloud #mobile          ,#finance #health #edu                  ,[.com](https://www.kryptobees.com)         ,[in: 1k](https://www.linkedin.com/company/krypto-bees/)                             ,[ig: 50](https://www.instagram.com/krypto.bees/)             ,[x: 110](https://x.com/kryptobees)      ,
Intelligenza Solutions ,B    ,2009 🇲🇽 ,#web #it #telecom                         ,                                       ,[.com.mx](https://www.intelligenza.com.mx) ,[in: 110](https://www.linkedin.com/company/intelligenza-solutions)                  ,                                                             ,[x: 40](https://x.com/intelligenza)     ,[Mexico City](https://maps.app.goo.gl/wbcRaHLnrjY3sTc4A)
Ehecatl                ,B    ,2009 🇲🇽 ,#mobile #app #web #cloud                  ,#finance #retail #B2C                  ,[.com.mx](https://www.ehecatl.com.mx)      ,[in: 440](https://www.linkedin.com/company/servicios-de-software-ehecatl-sa-de-cv/) ,                                                             ,                                        ,[Veracruz; Ver](https://maps.app.goo.gl/v3N2RKj8ygRFM3kH6)
Software Allies        ,B    ,2008 🇺🇸 ,#mobile #web                              ,#edu #business                         ,[.com](https://www.softwareallies.com)     ,[in: 730](https://www.linkedin.com/company/software-allies/)                        ,                                                             ,[x: 60](https://x.com/softwareallies)   ,[Dallas; TX](https://maps.app.goo.gl/kJLCsepxt53iTDxG7)
Rather Labs            ,C    ,2020 🇦🇷 ,#web3 #app                                ,#finance                               ,[.com](https://www.ratherlabs.com)         ,[in: 20k](https://www.linkedin.com/company/ratherlabs)                              ,[ig: 440](https://www.instagram.com/rather_labs/)            ,[x: 1.1k](https://x.com/rather_labs)    ,Buenos Aires
